Untitled1.acq
Graph Created on: 2025-02-21 11:01:03.020
Recording on: 2025-02-21 11:05:38.634
0.5 msec/sample
1 channels
PPG, X, PPGED-R
Volts
milliSec	CH1	
	85351 samples	
394	0.242004	
394.5	0.242615	
395	0.24231	
395.5	0.24292	
396	0.242615	
396.5	0.241089	
397	0.238342	
397.5	0.237732	
398	0.237427	
398.5	0.237122	
399	0.237122	
399.5	0.237427	
400	0.236816	
400.5	0.23468	
401	0.232544	
401.5	0.231934	
402	0.233154	
402.5	0.232239	
403	0.232849	
403.5	0.232849	
404	0.231628	
404.5	0.228577	
405	0.228577	
405.5	0.228271	
406	0.227661	
406.5	0.227966	
407	0.227661	
407.5	0.226746	
408	0.224609	
408.5	0.223694	
409	0.222778	
409.5	0.223694	
410	0.223389	
410.5	0.222778	
411	0.222168	
411.5	0.220032	
412	0.218506	
412.5	0.218201	
413	0.217896	
413.5	0.21759	
414	0.217896	
414.5	0.21698	
415	0.214844	
415.5	0.213623	
416	0.212708	
416.5	0.213318	
417	0.213013	
417.5	0.211792	
418	0.209961	
418.5	0.208435	
419	0.20813	
419.5	0.209045	
420	0.208435	
420.5	0.209045	
421	0.208435	
421.5	0.204773	
422	0.203247	
422.5	0.203247	
423	0.204163	
423.5	0.203247	
424	0.202942	
424.5	0.200195	
425	0.198975	
425.5	0.198669	
426	0.198059	
426.5	0.198669	
427	0.198364	
427.5	0.194702	
428	0.194092	
428.5	0.193481	
429	0.193481	
429.5	0.193481	
430	0.192871	
430.5	0.190125	
431	0.188599	
431.5	0.189209	
432	0.188599	
432.5	0.188904	
433	0.188293	
433.5	0.185547	
434	0.184326	
434.5	0.184021	
435	0.183716	
435.5	0.184021	
436	0.183716	
436.5	0.180054	
437	0.179443	
437.5	0.178833	
438	0.179138	
438.5	0.178833	
439	0.178528	
439.5	0.175476	
440	0.173645	
440.5	0.17395	
441	0.173645	
441.5	0.174255	
442	0.17334	
442.5	0.170288	
443	0.169373	
443.5	0.168762	
444	0.168762	
444.5	0.168457	
445	0.168152	
445.5	0.166016	
446	0.164185	
446.5	0.163269	
447	0.163879	
447.5	0.164185	
448	0.163574	
448.5	0.161133	
449	0.159912	
449.5	0.158691	
450	0.159302	
450.5	0.159607	
451	0.159302	
451.5	0.158691	
452	0.15564	
452.5	0.154724	
453	0.154114	
453.5	0.154419	
454	0.154724	
454.5	0.154419	
455	0.151367	
455.5	0.149841	
456	0.149841	
456.5	0.148926	
457	0.149231	
457.5	0.149231	
458	0.146484	
458.5	0.144653	
459	0.144348	
459.5	0.144043	
460	0.144958	
460.5	0.144348	
461	0.141907	
461.5	0.139771	
462	0.140076	
462.5	0.13916	
463	0.138855	
463.5	0.139465	
464	0.138855	
464.5	0.136414	
465	0.134888	
465.5	0.134888	
466	0.135193	
466.5	0.133667	
467	0.134583	
467.5	0.132751	
468	0.13031	
468.5	0.130005	
469	0.128784	
469.5	0.129395	
470	0.129395	
470.5	0.129395	
471	0.126343	
471.5	0.125122	
472	0.125122	
472.5	0.124207	
473	0.124207	
473.5	0.124817	
474	0.121765	
474.5	0.120544	
475	0.120239	
475.5	0.119934	
476	0.119934	
476.5	0.119934	
477	0.119934	
477.5	0.118408	
478	0.115051	
478.5	0.114441	
479	0.114441	
479.5	0.115356	
480	0.114441	
480.5	0.115051	
481	0.11261	
481.5	0.110779	
482	0.109863	
482.5	0.109558	
483	0.109863	
483.5	0.110779	
484	0.109863	
484.5	0.107422	
485	0.105896	
485.5	0.105896	
486	0.10498	
486.5	0.104675	
487	0.105286	
487.5	0.105286	
488	0.103455	
488.5	0.100098	
489	0.100708	
489.5	0.100403	
490	0.100098	
490.5	0.100708	
491	0.100403	
491.5	0.0985718	
492	0.0961304	
492.5	0.09552	
493	0.09552	
493.5	0.0949097	
494	0.0949097	
494.5	0.0946045	
495	0.093689	
495.5	0.0918579	
496	0.0909424	
496.5	0.0897217	
497	0.0900269	
497.5	0.090332	
498	0.090332	
498.5	0.0888062	
499	0.0860596	
499.5	0.0854492	
500	0.0854492	
500.5	0.085144	
501	0.085144	
501.5	0.0854492	
502	0.0842285	
502.5	0.0817871	
503	0.0811768	
503.5	0.0805664	
504	0.0802612	
504.5	0.0814819	
505	0.0805664	
505.5	0.0799561	
506	0.0799561	
506.5	0.0769043	
507	0.0765991	
507.5	0.0769043	
508	0.0762939	
508.5	0.0765991	
509	0.0762939	
509.5	0.0741577	
510	0.0720215	
510.5	0.071106	
511	0.071106	
511.5	0.0714111	
512	0.0714111	
512.5	0.071106	
513	0.0714111	
513.5	0.0701904	
514	0.0671387	
514.5	0.0671387	
515	0.0662231	
515.5	0.0662231	
516	0.065918	
516.5	0.0662231	
517	0.0653076	
517.5	0.062561	
518	0.0619507	
518.5	0.0616455	
519	0.0619507	
519.5	0.0613403	
520	0.0616455	
520.5	0.0619507	
521	0.0598145	
521.5	0.0579834	
522	0.0570679	
522.5	0.0564575	
523	0.0567627	
523.5	0.0567627	
524	0.0567627	
524.5	0.0564575	
525	0.0567627	
525.5	0.0561523	
526	0.0527954	
526.5	0.0518799	
527	0.0521851	
527.5	0.0518799	
528	0.0518799	
528.5	0.0521851	
529	0.0521851	
529.5	0.0506592	
530	0.0476074	
530.5	0.0473022	
531	0.0473022	
531.5	0.0476074	
532	0.0466919	
532.5	0.0469971	
533	0.0469971	
533.5	0.0466919	
534	0.0454712	
534.5	0.0439453	
535	0.0421143	
535.5	0.0424194	
536	0.0418091	
536.5	0.0421143	
537	0.0421143	
537.5	0.0421143	
538	0.0405884	
538.5	0.0378418	
539	0.0369263	
539.5	0.0369263	
540	0.0369263	
540.5	0.0375366	
541	0.0375366	
541.5	0.0366211	
542	0.0366211	
542.5	0.0363159	
543	0.0332642	
543.5	0.0323486	
544	0.0323486	
544.5	0.0317383	
545	0.0317383	
545.5	0.0320435	
546	0.0317383	
546.5	0.0317383	
547	0.0311279	
547.5	0.0296021	
548	0.0271606	
548.5	0.0271606	
549	0.0271606	
549.5	0.0271606	
550	0.0268555	
550.5	0.0271606	
551	0.0271606	
551.5	0.0262451	
552	0.0234985	
552.5	0.022583	
553	0.0222778	
553.5	0.0222778	
554	0.0219727	
554.5	0.0222778	
555	0.0222778	
555.5	0.0222778	
556	0.0216675	
556.5	0.0189209	
557	0.0177002	
557.5	0.0167847	
558	0.0170898	
558.5	0.0170898	
559	0.017395	
559.5	0.017395	
560	0.0177002	
560.5	0.0167847	
561	0.0140381	
561.5	0.012207	
562	0.0125122	
562.5	0.0125122	
563	0.0125122	
563.5	0.0125122	
564	0.0119019	
564.5	0.0119019	
565	0.0119019	
565.5	0.00946045	
566	0.00823975	
566.5	0.00732422	
567	0.00732422	
567.5	0.00762939	
568	0.00732422	
568.5	0.00732422	
569	0.00762939	
569.5	0.00732422	
570	0.00396729	
570.5	0.00274658	
571	0.00274658	
571.5	0.00244141	
572	0.00244141	
572.5	0.00274658	
573	0.00244141	
573.5	0.00274658	
574	0.00213623	
574.5	0.00244141	
575	-0.0012207	
575.5	-0.00213623	
576	-0.00183105	
576.5	-0.00244141	
577	-0.00244141	
577.5	-0.00183105	
578	-0.00244141	
578.5	-0.00274658	
579	-0.00244141	
579.5	-0.00549316	
580	-0.00732422	
580.5	-0.00762939	
581	-0.00701904	
581.5	-0.00671387	
582	-0.00762939	
582.5	-0.00701904	
583	-0.00762939	
583.5	-0.00671387	
584	-0.00762939	
584.5	-0.0109863	
585	-0.0119019	
585.5	-0.0115967	
586	-0.0119019	
586.5	-0.0115967	
587	-0.012207	
587.5	-0.012207	
588	-0.0115967	
588.5	-0.0125122	
589	-0.0125122	
589.5	-0.0149536	
590	-0.0170898	
590.5	-0.0167847	
591	-0.0170898	
591.5	-0.0170898	
592	-0.0170898	
592.5	-0.017395	
593	-0.0170898	
593.5	-0.017395	
594	-0.0167847	
594.5	-0.0198364	
595	-0.0213623	
595.5	-0.0216675	
596	-0.0219727	
596.5	-0.0219727	
597	-0.0216675	
597.5	-0.022583	
598	-0.0222778	
598.5	-0.0222778	
599	-0.0216675	
599.5	-0.0250244	
600	-0.0262451	
600.5	-0.0268555	
601	-0.0271606	
601.5	-0.0268555	
602	-0.0268555	
602.5	-0.0262451	
603	-0.0262451	
603.5	-0.0265503	
604	-0.0271606	
604.5	-0.0299072	
605	-0.0311279	
605.5	-0.0314331	
606	-0.0314331	
606.5	-0.0323486	
607	-0.0320435	
607.5	-0.0317383	
608	-0.0320435	
608.5	-0.0323486	
609	-0.0314331	
609.5	-0.0320435	
610	-0.0338745	
610.5	-0.0360107	
611	-0.0363159	
611.5	-0.0366211	
612	-0.0366211	
612.5	-0.0366211	
613	-0.0357056	
613.5	-0.0366211	
614	-0.0366211	
614.5	-0.0387573	
615	-0.0402832	
615.5	-0.0415039	
616	-0.0415039	
616.5	-0.0418091	
617	-0.0411987	
617.5	-0.0411987	
618	-0.0415039	
618.5	-0.0415039	
619	-0.0418091	
619.5	-0.0418091	
620	-0.0436401	
620.5	-0.0460815	
621	-0.0457764	
621.5	-0.0460815	
622	-0.0463867	
622.5	-0.0460815	
623	-0.0460815	
623.5	-0.0466919	
624	-0.0457764	
624.5	-0.0463867	
625	-0.0460815	
625.5	-0.0466919	
626	-0.0482178	
626.5	-0.050354	
627	-0.0515747	
627.5	-0.0512695	
628	-0.0515747	
628.5	-0.0518799	
629	-0.0515747	
629.5	-0.0509644	
630	-0.0506592	
630.5	-0.0509644	
631	-0.0515747	
631.5	-0.0509644	
632	-0.0527954	
632.5	-0.0549316	
633	-0.0558472	
633.5	-0.0567627	
634	-0.0561523	
634.5	-0.0564575	
635	-0.0564575	
635.5	-0.0561523	
636	-0.0558472	
636.5	-0.0558472	
637	-0.0558472	
637.5	-0.057373	
638	-0.0567627	
638.5	-0.0564575	
639	-0.0582886	
639.5	-0.0601196	
640	-0.0610352	
640.5	-0.0610352	
641	-0.0613403	
641.5	-0.0610352	
642	-0.0610352	
642.5	-0.0610352	
643	-0.0610352	
643.5	-0.0616455	
644	-0.0613403	
644.5	-0.0613403	
645	-0.06073	
645.5	-0.0613403	
646	-0.0601196	
646.5	-0.062561	
647	-0.0650024	
647.5	-0.0662231	
648	-0.0662231	
648.5	-0.0662231	
649	-0.065918	
649.5	-0.065918	
650	-0.065918	
650.5	-0.0668335	
651	-0.065918	
651.5	-0.065918	
652	-0.0656128	
652.5	-0.065918	
653	-0.0662231	
653.5	-0.0662231	
654	-0.065918	
654.5	-0.0674438	
655	-0.0695801	
655.5	-0.0704956	
656	-0.0714111	
656.5	-0.071106	
657	-0.0714111	
657.5	-0.0704956	
658	-0.071106	
658.5	-0.0708008	
659	-0.071106	
659.5	-0.0708008	
660	-0.0708008	
660.5	-0.0708008	
661	-0.0714111	
661.5	-0.0714111	
662	-0.071106	
662.5	-0.0717163	
663	-0.0714111	
663.5	-0.0720215	
664	-0.0747681	
664.5	-0.0756836	
665	-0.0762939	
665.5	-0.0759888	
666	-0.0762939	
666.5	-0.0759888	
667	-0.0750732	
667.5	-0.0753784	
668	-0.0762939	
668.5	-0.0762939	
669	-0.0762939	
669.5	-0.0756836	
670	-0.0756836	
670.5	-0.0759888	
671	-0.0759888	
671.5	-0.0756836	
672	-0.0762939	
672.5	-0.0759888	
673	-0.0750732	
673.5	-0.0756836	
